Value,S,K,tau,r,BS
41.74935287,429.3142924,390,0.150793651,0.03085,Under
4.564999999,427.6047004,440,0.261904762,0.03085,Over
0.190000001,429.3142924,460,0.150793651,0.03085,Over
51.53763959,427.6047004,380,0.261904762,0.03085,Under
6.880000398,427.6047004,435,0.261904762,0.03085,Over
16.35952792,427.6047004,420,0.261904762,0.03085,Under
56.37740496,427.6047004,375,0.261904762,0.03085,Under
42.248112,427.6047004,390,0.261904762,0.03085,Under
37.02255869,429.3142924,395,0.150793651,0.03085,Under
18.4953823,429.3142924,415,0.150793651,0.03085,Under
8.102550349,431.2968119,430,0.146825397,0.03065,Over
5.190000002,429.8845552,440,0.257936508,0.03065,Over
0.345002455,431.2968119,455,0.146825397,0.03065,Over
0.19,431.2968119,460,0.146825397,0.03065,Over
44.21064382,429.8845552,390,0.257936508,0.03065,Under
11.71009912,431.2968119,425,0.146825397,0.03065,Under
20.03519826,431.2968119,415,0.146825397,0.03065,Under
0.78,433.2991974,435,0.007936508,0.03065,Over
21.90750829,429.8845552,415,0.257936508,0.03065,Under
0.285000001,429.8845552,465,0.257936508,0.03065,Over
1.095000003,429.8845552,455,0.257936508,0.03065,Over
33.96784693,431.2968119,400,0.146825397,0.03065,Under
48.92127072,429.8845552,385,0.257936508,0.03065,Under
15.68764869,431.2968119,420,0.146825397,0.03065,Under
3.96878388,433.2991974,430,0.007936508,0.03065,Under
38.69540187,431.2968119,395,0.146825397,0.03065,Under
39.62001664,429.8845552,395,0.257936508,0.03065,Under
24.45274785,431.2968119,410,0.146825397,0.03065,Under
7.749999999,429.8845552,435,0.257936508,0.03065,Over
14.29626136,429.8845552,425,0.257936508,0.03065,Under
30.51376243,429.8845552,405,0.257936508,0.03065,Under
3.190000039,429.8845552,445,0.257936508,0.03065,Over
53.75189815,429.8845552,380,0.257936508,0.03065,Under
29.08529738,431.2968119,405,0.146825397,0.03065,Under
2.815000002,431.2968119,440,0.146825397,0.03065,Over
0.785000004,431.2968119,450,0.146825397,0.03065,Over
13.56135165,433.2991974,420,0.007936508,0.03065,Under
2.005003955,429.8845552,450,0.257936508,0.03065,Over
17.81688122,429.8845552,420,0.257936508,0.03065,Under
26.05313536,429.8845552,410,0.257936508,0.03065,Under
34.8493895,429.8845552,400,0.257936508,0.03065,Under
5.065000045,431.2968119,435,0.146825397,0.03065,Over
8.592567767,433.2991974,425,0.007936508,0.03065,Under
10.65062715,429.8845552,430,0.257936508,0.03065,Under
0.62500048,429.8845552,460,0.257936508,0.03065,Over
0.1250006,429.8845552,470,0.257936508,0.03065,Over
58.49752909,429.8845552,375,0.257936508,0.03065,Under
43.61294731,431.2968119,390,0.146825397,0.03065,Under
1.44000438,431.2968119,445,0.146825397,0.03065,Over
56.10644635,432.4600703,380,0.253968254,0.03044,Under
12.02149819,432.4600703,430,0.253968254,0.03044,Under
0.160000016,434.1124784,460,0.142857143,0.03044,Over
6.255001241,432.4600703,440,0.253968254,0.03044,Over
15.67299012,432.4600703,425,0.253968254,0.03044,Under
9.543304348,434.1124784,430,0.142857143,0.03044,Over
0.905,434.1124784,450,0.142857143,0.03044,Over
2.4400007,432.4600703,450,0.253968254,0.03044,Over
1.345,432.4600703,455,0.253968254,0.03044,Over
13.46160871,434.1124784,425,0.142857143,0.03044,Under
41.36143481,434.1124784,395,0.142857143,0.03044,Under
27.99247531,432.4600703,410,0.253968254,0.03044,Under
60.94294072,432.4600703,375,0.253968254,0.03044,Under
0.345,432.4600703,465,0.253968254,0.03044,Over
26.8615219,434.1124784,410,0.142857143,0.03044,Under
1.625000006,436.1974579,435,0.003968254,0.03044,Over
19.50948518,432.4600703,420,0.253968254,0.03044,Under
6.315000002,434.1124784,435,0.142857143,0.03044,Over
23.59598025,432.4600703,415,0.253968254,0.03044,Under
17.93991308,434.1124784,420,0.142857143,0.03044,Under
8.689999998,432.4600703,435,0.253968254,0.03044,Over
3.689999997,434.1124784,440,0.142857143,0.03044,Over
3.815000004,432.4600703,445,0.253968254,0.03044,Over
2.005000175,434.1124784,445,0.142857143,0.03044,Over
31.80982999,434.1124784,405,0.142857143,0.03044,Under
36.5381305,434.1124784,400,0.142857143,0.03044,Under
41.75696349,432.4600703,395,0.253968254,0.03044,Under
0.565001515,432.4600703,460,0.253968254,0.03044,Over
51.32995062,432.4600703,385,0.253968254,0.03044,Under
46.24474504,434.1124784,390,0.142857143,0.03044,Under
22.35321747,434.1124784,415,0.142857143,0.03044,Under
0.410001194,434.1124784,455,0.142857143,0.03044,Over
37.04046543,432.4600703,400,0.253968254,0.03044,Under
46.58846338,432.4600703,390,0.253968254,0.03044,Under
32.45397037,432.4600703,405,0.253968254,0.03044,Under
0.190000039,432.4600703,470,0.253968254,0.03044,Over
3.505,434.5644658,440,0.138888889,0.03003,Over
46.43770337,434.5644658,390,0.138888889,0.03003,Under
0.190000003,434.5644658,460,0.138888889,0.03003,Over
23.78541223,432.8664657,415,0.25,0.03003,Under
28.1230153,432.8664657,410,0.25,0.03003,Under
0.125000017,434.5644658,465,0.138888889,0.03003,Over
1.375000002,432.8664657,455,0.25,0.03003,Over
0.375002088,434.5644658,455,0.138888889,0.03003,Over
18.00256796,434.5644658,420,0.138888889,0.03003,Under
0.375011204,432.8664657,465,0.25,0.03003,Over
2.440000644,432.8664657,450,0.25,0.03003,Over
51.37103055,432.8664657,385,0.25,0.03003,Under
6.190000017,434.5644658,435,0.138888889,0.03003,Over
6.065001171,432.8664657,440,0.25,0.03003,Over
0.190000036,432.8664657,470,0.25,0.03003,Over
32.55061837,432.8664657,405,0.25,0.03003,Under
27.2109464,434.5644658,410,0.138888889,0.03003,Under
0.125000278,432.8664657,475,0.25,0.03003,Over
19.44780917,432.8664657,420,0.25,0.03003,Under
13.58837856,434.5644658,425,0.138888889,0.03003,Under
46.65842757,432.8664657,390,0.25,0.03003,Under
4.065000003,432.8664657,445,0.25,0.03003,Over
15.48520611,432.8664657,425,0.25,0.03003,Under
22.48175751,434.5644658,415,0.138888889,0.03003,Under
9.479189264,434.5644658,430,0.138888889,0.03003,Over
1.720000588,434.5644658,445,0.138888889,0.03003,Over
36.69932484,434.5644658,400,0.138888889,0.03003,Under
41.61352058,434.5644658,395,0.138888889,0.03003,Under
0.625000661,432.8664657,460,0.25,0.03003,Over
41.94582444,432.8664657,395,0.25,0.03003,Under
11.5826138,432.8664657,430,0.25,0.03003,Over
31.75513675,434.5644658,405,0.138888889,0.03003,Under
0.12500005,432.8664657,480,0.25,0.03003,Over
8.624999997,432.8664657,435,0.25,0.03003,Over
61.10623788,432.8664657,375,0.25,0.03003,Under
37.23322139,432.8664657,400,0.25,0.03003,Under
0.905,434.5644658,450,0.138888889,0.03003,Over
56.17864539,432.8664657,380,0.25,0.03003,Under
28.82387365,433.9134008,410,0.238095238,0.03054,Under
32.19888245,435.0662955,405,0.126984127,0.03054,Under
0.255000007,433.9134008,465,0.238095238,0.03054,Over
6.250000246,433.9134008,440,0.238095238,0.03054,Over
0.815000389,432.6954787,465,0.349206349,0.03054,Over
33.31764837,433.9134008,405,0.238095238,0.03054,Under
8.130000032,432.6954787,440,0.349206349,0.03054,Over
0.160000007,435.0662955,460,0.126984127,0.03054,Over
13.5862943,435.0662955,425,0.126984127,0.03054,Over
0.565001256,433.9134008,460,0.238095238,0.03054,Over
10.94000001,432.6954787,435,0.349206349,0.03054,Over
5.75,432.6954787,445,0.349206349,0.03054,Over
22.67258905,435.0662955,415,0.126984127,0.03054,Under
20.27132417,433.9134008,420,0.238095238,0.03054,Under
12.15377472,433.9134008,430,0.238095238,0.03054,Over
1.690000447,435.0662955,445,0.126984127,0.03054,Over
1.155000001,433.9134008,455,0.238095238,0.03054,Over
9.485647077,435.0662955,430,0.126984127,0.03054,Over
0.720000007,435.0662955,450,0.126984127,0.03054,Over
18.08391905,432.6954787,425,0.349206349,0.03054,Under
3.874999998,433.9134008,445,0.238095238,0.03054,Over
1.505000003,432.6954787,460,0.349206349,0.03054,Over
2.255000989,433.9134008,450,0.238095238,0.03054,Over
0.190000325,432.6954787,475,0.349206349,0.03054,Over
6.065000132,435.0662955,435,0.126984127,0.03054,Over
21.96587857,432.6954787,420,0.349206349,0.03054,Under
3.505008349,435.0662955,440,0.126984127,0.03054,Over
2.505002775,432.6954787,455,0.349206349,0.03054,Over
8.940000014,433.9134008,435,0.238095238,0.03054,Over
18.06694184,435.0662955,420,0.126984127,0.03054,Under
25.9128381,432.6954787,415,0.349206349,0.03054,Under
0.375000002,432.6954787,470,0.349206349,0.03054,Over
0.155000175,433.9134008,470,0.238095238,0.03054,Over
0.125002443,432.6954787,480,0.349206349,0.03054,Over
24.42509891,433.9134008,415,0.238095238,0.03054,Under
30.16979763,432.6954787,410,0.349206349,0.03054,Under
27.34323597,435.0662955,410,0.126984127,0.03054,Under
14.25696602,432.6954787,430,0.349206349,0.03054,Under
0.315004397,435.0662955,455,0.126984127,0.03054,Over
3.815000025,432.6954787,450,0.349206349,0.03054,Over
34.49675717,432.6954787,405,0.349206349,0.03054,Under
15.93254945,433.9134008,425,0.238095238,0.03054,Under
2.315004862,430.9376405,455,0.345238095,0.03054,Over
10,430.9376405,435,0.345238095,0.03054,Over
1.440001952,433.6838125,445,0.123015873,0.03054,Over
3.255000011,432.4007399,445,0.234126984,0.03054,Over
0.375,430.9376405,470,0.345238095,0.03054,Over
3.440000106,430.9376405,450,0.345238095,0.03054,Over
21.30500353,433.6838125,415,0.123015873,0.03054,Under
0.15500009,432.4007399,470,0.234126984,0.03054,Over
1.875004528,432.4007399,450,0.234126984,0.03054,Over
12.52750145,433.6838125,425,0.123015873,0.03054,Under
31.97125793,432.4007399,405,0.234126984,0.03054,Under
5.44000418,432.4007399,440,0.234126984,0.03054,Over
16.82375236,433.6838125,420,0.123015873,0.03054,Under
7.250001034,430.9376405,440,0.345238095,0.03054,Over
28.67779543,430.9376405,410,0.345238095,0.03054,Under
1.005000008,432.4007399,455,0.234126984,0.03054,Over
14.80375264,432.4007399,425,0.234126984,0.03054,Under
1.185000012,430.9376405,460,0.345238095,0.03054,Over
0.125001466,430.9376405,480,0.345238095,0.03054,Over
13.1375602,430.9376405,430,0.345238095,0.03054,Under
30.79750432,433.6838125,405,0.123015873,0.03054,Under
18.83312897,432.4007399,420,0.234126984,0.03054,Under
24.48023634,430.9376405,415,0.345238095,0.03054,Under
0.755000526,430.9376405,465,0.345238095,0.03054,Over
20.40767725,430.9376405,420,0.345238095,0.03054,Under
0.220000015,432.4007399,465,0.234126984,0.03054,Over
8.671250716,433.6838125,430,0.123015873,0.03054,Over
0.190000194,430.9376405,475,0.345238095,0.03054,Over
26.00125386,433.6838125,410,0.123015873,0.03054,Under
5.380000002,430.9376405,445,0.345238095,0.03054,Over
7.755000002,432.4007399,435,0.234126984,0.03054,Over
0.125000105,432.4007399,475,0.234126984,0.03054,Over
0.565000068,433.6838125,450,0.123015873,0.03054,Over
